id_gouvernorat,Libelle_gouvernorat,Libelle_gouvernorat_Fr,id_commune,Libelle_commune,Libelle_commune_fr
11,تونس ,Tunis,1111,تونس العاصمة,Tunis Ville
11,تونس ,Tunis,1112,باردو,Le Bardo
11,تونس ,Tunis,1113,الكرم,EL kram
11,تونس ,Tunis,1114,حلق الوادي,La Goulette
11,تونس ,Tunis,1115,قرطاج,Carthage
11,تونس ,Tunis,1116,سيدي بوسعيد,Sidi Bou Said
11,تونس ,Tunis,1117,المرسى,La Marsa
11,تونس ,Tunis,1118,سيدي حسين,Sidi Hassine
12,أريانة,Ariana,1211,أريانة,Ariana
12,أريانة,Ariana,1212,سكرة,Soukra
12,أريانة,Ariana,1213,رواد,Raoued
12,أريانة,Ariana,1214,قلعة الأندلس,Kalaat El Andalos
12,أريانة,Ariana,1215,سيدي ثابت,Sidi Thabet
12,أريانة,Ariana,1216,التضامن ,Ettadhamen
12,أريانة,Ariana,1217,المنيهلة,El Mnihla
13,بن عروس,Ben Arous,1311,بن عروس,Ben Arous
13,بن عروس,Ben Arous,1312,المروج,El Mourouj
13,بن عروس,Ben Arous,1313,حمام الأنف,Hammam Lif
13,بن عروس,Ben Arous,1314,حمام الشط,Hammam Chott
13,بن عروس,Ben Arous,1315,بومهل البساتين,Bou Mhel El Bassatine
13,بن عروس,Ben Arous,1316,الزهراء,Ez-Zahra
13,بن عروس,Ben Arous,1317,رادس,Rades
13,بن عروس,Ben Arous,1318,مقرين,Megrine
13,بن عروس,Ben Arous,1319,المحمدية,Mhamedia
13,بن عروس,Ben Arous,1320,مرناق,Mornag
13,بن عروس,Ben Arous,1321,الخليدية,Khelidia
13,بن عروس,Ben Arous,1322,فوشانة,Fouchana
13,بن عروس,Ben Arous,1323,نعسان,Naassen
14,منوبة ,Manouba,1411,منوبة,Mannouba
14,منوبة ,Manouba,1412,الدندان,Denden
14,منوبة ,Manouba,1413,دوار هيشر,Douar Hicher
14,منوبة ,Manouba,1414,وادي الليل,Oued Elli
14,منوبة ,Manouba,1415,المرناقية,Mornaguia
14,منوبة ,Manouba,1416,برج العامري,Borj El Amri
14,منوبة ,Manouba,1417,الجديدة,Djedaïda
14,منوبة ,Manouba,1418,طبربة,Tebourba
14,منوبة ,Manouba,1419,البطان,El Battan
14,منوبة ,Manouba,1420,البساتين,El Bassatine
15,نابل ,Nabeul,1511,نابل,Nabeul
15,نابل ,Nabeul,1512,دار شعبان,Dar Chaabane
15,نابل ,Nabeul,1513,بني خيار,Beni Khiar
15,نابل ,Nabeul,1514,المعمورة,El Mâamoura
15,نابل ,Nabeul,1515,الصمعة,Somaâ
15,نابل ,Nabeul,1516,قربة ,Korba
15,نابل ,Nabeul,1517,تازركة,Tazeka
15,نابل ,Nabeul,1518,منزل تميم,Menzel Temime
15,نابل ,Nabeul,1519,منزل حر,Menzel Horr
15,نابل ,Nabeul,1520,الميدة,El Mida
15,نابل ,Nabeul,1521,قليبية,Kelibia
15,نابل ,Nabeul,1522,أزمور,Azmour
15,نابل ,Nabeul,1523,حمام الأغزام,Hammam El Guezaz
15,نابل ,Nabeul,1524,دار علوش,Dar Allouch
15,نابل ,Nabeul,1525,الهوارية,El Haouaria
15,نابل ,Nabeul,1526,تاكلسة,Takelsa
15,نابل ,Nabeul,1527,سليمان,Soliman
15,نابل ,Nabeul,1528,قربص,Korbous
15,نابل ,Nabeul,1529,منزل بوزلفة,Menzel Bou Zelfa
15,نابل ,Nabeul,1530,بني خلاد,Beni Khalled
15,نابل ,Nabeul,1531,زاوية الجديدي,Zaouiet Djedidi
15,نابل ,Nabeul,1532,قرنبالية,Grombalia
15,نابل ,Nabeul,1533,بوعرقوب,Bou Argoub
15,نابل ,Nabeul,1534,الحمامات,Hammamet
15,نابل ,Nabeul,1535,فندق الجديد - سلتان,Fondek Ejedid - Es Selten
15,نابل ,Nabeul,1536,تزغران  بوكريم زاوية المقايز,Tazegrane Boukrim Zaouiet Mgaiez
15,نابل ,Nabeul,1537,سيدي الجديدي,Sidi Jedidi
15,نابل ,Nabeul,1538,الشريفات بوشراي,Echerifet Boucharray 
16,زغوان,Zaghouan,1611,زغوان,Zaghouan
16,زغوان,Zaghouan,1612,الزريبة,Ez-Zeriba
16,زغوان,Zaghouan,1613,بئر مشارقة,Bir Mchergua
16,زغوان,Zaghouan,1614,جبل الوسط,Jebel  Oust
16,زغوان,Zaghouan,1615,الفحص,El Fahs
16,زغوان,Zaghouan,1616,الناظور,En-Nadhour
16,زغوان,Zaghouan,1617,صواف,Saouaf
16,زغوان,Zaghouan,1618,العمايم,El Amaiem
17,بنزرت,Bizerte,1711,بنزرت,Bizerte
17,بنزرت,Bizerte,1712,سجنان,Sedjnane
17,بنزرت,Bizerte,1713,ماطر,Mateur
17,بنزرت,Bizerte,1714,منزل بورقيبة,Menzel Bourguiba
17,بنزرت,Bizerte,1715,تينجة,Tinja
17,بنزرت,Bizerte,1716,غار الملح,Ghar El Meleh
17,بنزرت,Bizerte,1717,عوسجة,Ousja
17,بنزرت,Bizerte,1718,منزل جميل,Menzel Djemil
17,بنزرت,Bizerte,1719,منزل عبد الرحمان,Menzel Abderrahmen
17,بنزرت,Bizerte,1720,العالية,El Alia
17,بنزرت,Bizerte,1721,راس الجبل,Ras El Djebel
17,بنزرت,Bizerte,1722,الماتلين,Metline
17,بنزرت,Bizerte,1723,رفراف,Rafraf
17,بنزرت,Bizerte,1724,أوتيك,Utique
17,بنزرت,Bizerte,1725,جومين,Joumine
17,بنزرت,Bizerte,1726,غزالة,Ghzala
17,بنزرت,Bizerte,1727,الحشاشنة,El Hchachna
21,باجة,Beja,2111,باجة,Béja
21,باجة,Beja,2112,المعقولة,El Mâagoula
21,باجة,Beja,2113,زهرة مدين,Zahret Medien
21,باجة,Beja,2114,نفزة,Nefza
21,باجة,Beja,2115,تبرسق,Teboursouk
21,باجة,Beja,2116,تستور,Testour
21,باجة,Beja,2117,قبلاط,Goubellat
21,باجة,Beja,2118,مجاز الباب,Medjez El Bab
21,باجة,Beja,2119,تيبار,Tibar
21,باجة,Beja,2120,وشتاتة - الجميلة,Ouechtata - El Jamila
21,باجة,Beja,2121,سيدي إسماعيل,Sidi Ismail
21,باجة,Beja,2122,السلوقية,Slouguia
22,جندوبة ,Jendouba,2211,جندوبة,Jendouba
22,جندوبة ,Jendouba,2212,بوسالم,Bou Salem
22,جندوبة ,Jendouba,2213,طبرقة,Tabarka
22,جندوبة ,Jendouba,2214,عين دراهم,Ain Draham
22,جندوبة ,Jendouba,2215,فرنانة,Fernana
22,جندوبة ,Jendouba,2216,بني مطير,Beni M'tir
22,جندوبة ,Jendouba,2217,غار الدماء,Ghardimaou
22,جندوبة ,Jendouba,2218,وادي مليز,Oued Meliz
22,جندوبة ,Jendouba,2219,بلطة بوعوان,Balta -Bouaouene
22,جندوبة ,Jendouba,2220,سوق السبت,Souk Es-Sabet
22,جندوبة ,Jendouba,2221,القلعة - المعدن - فرقصان,El Golaa - El Maaden -Forgassen
22,جندوبة ,Jendouba,2222,الجواودة,Jaouaouada
22,جندوبة ,Jendouba,2223,عين الصبح - الناظور,Ain Es-Sobh - Nadhour
22,جندوبة ,Jendouba,2224,الخمايرية,Khemairia
23,الكاف,Kef,2311,الكاف,Le Kef
23,الكاف,Kef,2312,نبر,Nebeur
